,id,Category,Name,Amount,Unit,List_Price,Price_per_unit_of_measure,Currency
205,6934233,mercearia,Bolachas Mini Marinheiras Naturais,0.05,KG,0.89,17.80,€
206,5253942,mercearia,Massa Fusilli Tricolor,0.5,KG,1.02,2.04,€
207,3835004,mercearia,Bolachas Maria,0.3,KG,1.69,5.63,€
208,6395158,mercearia,Conjunto de Saquetas de Fruta Maçã e Morango +3A,4.0,KG,2.99,8.31,€
209,2859483,mercearia,Feijão Manteiga Cozido,0.83,KG,1.19,2.29,€
210,5585334,mercearia,Maionese XXL Top Down,0.754,KG,5.69,7.55,€
211,5968600,mercearia,Tortitas de Milho com Sal sem Glúten,0.13,KG,0.79,6.08,€
212,6579727,mercearia,Gelatina Pronta Tangerina,0.4,KG,0.99,2.48,€
213,2533080,mercearia,Bolachas Digestivas de Aveia,0.258,KG,2.43,9.42,€
214,7319491,mercearia,Saqueta de Frutas Variadas +12M,0.11,KG,0.84,7.64,€
215,6988911,mercearia,Conjunto de Saquetas de Fruta Maçã e Frutos Tropicais +3A,4.0,KG,2.99,8.31,€
216,5359531,mercearia,Saqueta de Fruta para Bebé 4 Frutas +4M,0.09,KG,0.74,8.22,€
217,2859501,mercearia,Feijão Encarnado Cozido,0.83,KG,1.19,2.29,€
218,7635924,mercearia,Papa Infantil Farinha Láctea 40% Menos Açúcares +6M,0.9,KG,6.29,6.99,€
219,2433628,mercearia,Feijão Branco Cozido,0.54,KG,0.89,2.23,€
220,2014578,mercearia,Açúcar Areado Amarelo,1.0,KG,1.89,1.89,€
221,7626369,mercearia,Alho Moído em Saqueta,0.08,KG,1.49,18.62,€
222,2003658,mercearia,Arroz Agulha,1.0,KG,1.26,1.26,€
223,4954132,mercearia,Arroz Agulha Selecionado,1.0,KG,1.21,1.21,€
224,2595860,mercearia,Mini Tostas de Trigo,0.35,KG,1.87,5.34,€
225,7714046,mercearia,"Saqueta de Fruta Maçã, Pêssego e Abóbora +6M",0.085,KG,0.89,10.47,€
226,7267764,mercearia,"Saqueta de Fruta Maçã, Pera e Cenoura +8M",0.09,KG,0.74,8.22,€
227,2003316,mercearia,Massa Cotovelinhos,0.5,KG,1.5,3.00,€
228,2061464,mercearia,Café em Grão Torrado 5 Estrelas Lote Clássico Int 10,1.0,KG,15.99,15.99,€
229,2965845,mercearia,Feijão Frade Cozido,0.41,KG,1.29,4.96,€
230,7635921,mercearia,Papa Infantil Farinha Láctea +6M,0.9,KG,6.99,7.77,€
231,4026554,mercearia,Vinagre de Vinho Branco,0.25,LT,0.74,2.96,€
232,7740990,mercearia,Cápsulas de Café EpiQ Int 14,80.0,UN,22.99,0.29,€
233,5818170,mercearia,Polpa Tomate Passata,0.7,KG,2.79,3.99,€
234,6543462,mercearia,Bolachas Cookies com Pepitas de Chocolate,0.225,KG,1.49,6.62,€
235,6512337,mercearia,Pipocas Doces,0.15,KG,0.96,6.40,€
236,2003573,mercearia,Feijão Encarnado Cozido,0.845,KG,1.99,4.23,€
237,7141039,mercearia,Nachos de Milho com Sal,0.15,KG,1.09,7.27,€
238,5621031,mercearia,Sal Grosso,1.0,KG,0.25,0.25,€
239,7295491,mercearia,"Puré de Fruta Banana, Tangerina e Pera +8M",4.0,KG,2.29,5.73,€
240,2735731,mercearia,Feijão Frade,0.5,KG,1.97,3.94,€
241,2003522,mercearia,Polpa de Tomate,0.5,KG,1.27,2.54,€
242,5561362,mercearia,Gelatina Pronta Ananás,0.4,KG,0.95,2.38,€
243,7612057,mercearia,Cápsulas de Descafeinado Int 8,10.0,UN,4.29,0.43,€
244,5832853,mercearia,Tortitas de Milho com 54% Chocolate sem Glúten,0.13,KG,1.59,12.23,€
245,2003321,mercearia,Massa Cotovelos Grandes Riscados,0.5,KG,1.65,3.30,€
246,4833012,mercearia,Batata Frita Rodelas,0.4,KG,2.66,6.65,€
247,2305914,mercearia,Sal Marinho Grosso,1.0,KG,0.49,0.49,€
248,2014579,mercearia,Açúcar Branco de Cana,1.0,KG,1.69,1.69,€
249,4036360,mercearia,Mel de Rosmaninho,1.1,KG,12.29,11.17,€
250,2965775,mercearia,Grão de Bico Cozido sem Glúten,0.41,KG,1.29,4.96,€
251,7376254,mercearia,Batata Doce Frita,0.15,KG,1.69,11.27,€
252,7267759,mercearia,Conjunto de Saquetas de Fruta Maçã e Manga +3A,4.0,KG,2.99,8.31,€
253,7453437,mercearia,"Saqueta de Fruta Maçã, Manga e Laranja Frutapura +6M",0.085,KG,1.09,12.82,€
254,7183110,mercearia,Tortitas de Milho Mini sem Glúten,0.2,KG,1.99,9.95,€
255,5605351,mercearia,Atum Filete em Azeite,0.2,KG,4.57,32.64,€
256,3851533,mercearia,Cereais com Recheio Chocolate e Avelã,0.375,KG,1.79,4.77,€
257,7146725,mercearia,Leite de Coco,0.4,LT,1.49,3.73,€
258,7374016,mercearia,Salsichas Bockwurst Aves Frasco 9 un,0.954,KG,2.84,7.89,€
