,time_scraped,quantity,main_category,name,amount,unit,price,price_p_unit,currency,id,brand,full_category,variant,channel
90,16/05/2023 23:29:40,220 GR (6 UN) | 9.05 €/KG,mercearia,Bolachas Belgas,220 GR,KG,1.99,9.05,€,5508158,Saborosa,"Mercearia/Bolachas, Biscoitos e Tostas/Bolachas de Manteiga",,col
91,16/05/2023 23:29:40,3 LT | 5.03 €/LT,mercearia,Azeite,3 LT,LT,15.08,5.03,€,7431299,Continente,"Mercearia/Azeite, Óleo e Vinagre/Azeite",,col
92,16/05/2023 23:29:40,3 X 11 CL | 5.55 €/LT,mercearia,Doses Fruta Frutos Vermelhos +3A,3 X,LT,1.83,5.55,€,4090345,Compal Essencial,Bebidas e Garrafeira/Sumos e Refrigerantes/Sumos 100% Fruta,,col
93,16/05/2023 23:29:40,350 GR (PESO ESCORRIDO 200 GR) | 5.45 €/KG,mercearia,Salsichas de Aves Lata 8 un sem Glúten,350 GR,KG,1.09,5.45,€,6498858,Continente,Mercearia/Conservas/Salsichas,,col
94,16/05/2023 23:29:40,90 GR | 8.22 €/KG,mercearia,Saqueta de Fruta Maçã e Pera +8M,90 GR,KG,0.74,8.22,€,7519494,Continente,"Mercearia/Alimentação Infantil/Boiões, Saquetas e Puré de Fruta",,col
95,16/05/2023 23:29:40,440 GR (10 UN) | 9.07 €/KG,mercearia,Bolachas de Chocolate com Recheio de Creme,440 GR,KG,3.99,9.07,€,5058932,Oreo,"Mercearia/Bolachas, Biscoitos e Tostas/Bolachas com Cobertura e Recheio",,col
96,16/05/2023 23:30:10,160 GR | 12.44 €/KG,mercearia,Batata Frita Ondulada Sal,160 GR,KG,1.99,12.44,€,7379477,Ruffles,Mercearia/Snacks e Batatas Fritas/Batatas Fritas,,col
97,16/05/2023 23:30:10,1 UN | 4.90 €/UN,mercearia,Esparguete com Molho Pesto Alla Genovese,1 UN,UN,4.9,4.90,€,foodbarillaspaghettipesto,,"Mercearia/Arroz, Massa e Farinha/Massa",,col
98,16/05/2023 23:30:10,90 GR | 8.22 €/KG,mercearia,Saqueta de Fruta Banana e Maçã +4M,90 GR,KG,0.74,8.22,€,5359523,Nestlé,"Mercearia/Alimentação Infantil/Boiões, Saquetas e Puré de Fruta",,col
99,16/05/2023 23:30:10,1 KG | 1.12 €/KG,mercearia,Arroz Vaporizado,1 KG,KG,1.12,1.12,€,4954144,Continente,"Mercearia/Arroz, Massa e Farinha/Arroz",,col
